KABR,45.45583,-98.41305
KABX,35.14972,-106.82388
KAKQ,36.98388,-77.0075
KAMA,35.23333,-101.70927
KAMX,25.61055,-80.41305
KAPX,44.90634,-84.71953
KARX,43.82277,-91.1911
KATX,48.19461,-122.49568
KBBX,39.49611,-121.63165
KBGM,42.19969,-75.98472
KBHX,40.49833,-124.29215
KBIS,46.77083,-100.76027
KBLX,45.85377,-108.60679
KBMX,33.17194,-86.76972
KBOX,41.95577,-71.13686
KBRO,25.91555,-97.4186
KBUF,42.9486,-78.73694
KBYX,24.59694,-81.70333
KCAE,33.9486,-81.11861
KCBW,46.03916,-67.80642
KCBX,43.49021,-116.23602
KCCX,40.92305,-78.00389
KCLE,41.41305,-81.86
KCLX,32.65552,-81.04219
KCRP,27.78388,-97.51083
KCXX,44.5111,-73.16639
KCYS,41.15194,-104.8061
KDAX,38.50111,-121.67782
KDDC,37.76083,-99.96888
KDFX,29.2725,-100.28027
KDGX,32.27999,-89.98444
KDIX,39.94694,-74.41072
KDLH,46.83694,-92.20971
KDMX,41.7311,-93.72285
KDOX,38.82555,-75.44
KDTX,42.69999,-83.47166
KDVN,41.61166,-90.58083
KDYX,32.53833,-99.25416
KEAX,38.81024,-94.26446
KEMX,31.89361,-110.63027
KENX,42.58655,-74.06408
KEOX,31.46055,-85.45938
KEPZ,31.87305,-106.69799
KESX,35.70111,-114.89138
KEVX,30.56503,-85.92166
KEWX,29.70405,-98.0286
KEYX,35.09777,-117.56074
KFCX,37.02416,-80.27416
KFDR,34.36219,-98.97666
KFDX,34.63416,-103.61888
KFFC,33.36333,-84.56583
KFSD,43.58777,-96.72888
KFSX,34.57433,-111.19843
KFTG,39.78663,-104.5458
KFWS,32.57277,-97.30313
KGGW,48.20635,-106.62468
KGJX,39.06222,-108.21375
KGLD,39.36694,-101.70027
KGRB,44.49862,-88.1111
KGRK,30.72166,-97.38277
KGRR,42.89388,-85.54488
KGSP,34.8833,-82.21983
KGWX,33.89691,-88.32919
KGYX,43.8913,-70.25636
KHDC,30.5196,-90.4074
KHDX,33.07699,-106.12002
KHGX,29.47194,-95.07888
KHNX,36.31416,-119.63213
KHPX,36.73666,-87.28499
KHTX,34.93055,-86.08361
KICT,37.65444,-97.44305
KICX,37.59104,-112.86221
KILN,39.42027,-83.82166
KILX,40.15049,-89.33679
KIND,39.70749,-86.28027
KINX,36.17499,-95.56413
KIWA,33.28916,-111.66999
KIWX,41.3586,-85.7
KJAX,30.48463,-81.7019
KJGX,32.67499,-83.35111
KJKL,37.59083,-83.31305
KLBB,33.65413,-101.81416
KLCH,30.1253,-93.21588
KLGX,47.11689,-124.10663
KLNX,41.95794,-100.57621
KLOT,41.60444,-88.08444
KLRX,40.73972,-116.80277
KLSX,38.69888,-90.68277
KLTX,33.98916,-78.42916
KLVX,37.97527,-85.94388
KLWX,38.9761,-77.4875
KLZK,34.83638,-92.26194
KMAF,31.94346,-102.18924
KMAX,42.08111,-122.71735
KMBX,48.39249,-100.86443
KMHX,34.77583,-76.87639
KMKX,42.96777,-88.55055
KMLB,28.11305,-80.65444
KMOB,30.67944,-88.23972
KMPX,44.84888,-93.56552
KMQT,46.5311,-87.54833
KMRX,36.16833,-83.40194
KMSX,47.0411,-113.9861
KMTX,41.26277,-112.44777
KMUX,37.15522,-121.89843
KMVX,47.52805,-97.32499
KMXX,32.53664,-85.78975
KNKX,32.91888,-117.04193
KNQA,35.34472,-89.87333
KOAX,41.32027,-96.3668
KOHX,36.24722,-86.5625
KOKX,40.86552,-72.86392
KOTX,47.68055,-117.62582
KPAH,37.06833,-88.77194
KPBZ,40.53166,-80.21794
KPDT,45.69055,-118.8529
KPOE,31.15527,-92.97583
KPUX,38.45944,-104.18138
KRAX,35.66527,-78.49
KRGX,39.75405,-119.46202
KRIW,43.0661,-108.47729
KRLX,38.3111,-81.72277
KRTX,45.71499,-122.96499
KSFX,43.10559,-112.68612
KSGF,37.23527,-93.40027
KSHV,32.45083,-93.84124
KSJT,31.37111,-100.49221
KSOX,33.81773,-117.63599
KSRX,35.29041,-94.36188
KTBW,27.70527,-82.40194
KTFX,47.45972,-111.38527
KTLH,30.39749,-84.32889
KTLX,35.33305,-97.27775
KTWX,38.99694,-96.23249
KTYX,43.75582,-75.68
KUDX,44.12471,-102.82999
KUEX,40.32083,-98.44194
KVAX,30.89027,-83.0018
KVBX,34.83855,-120.3979
KVNX,36.74083,-98.12749
KVTX,34.41166,-119.1786
KVWX,38.26024,-87.72452
KYUX,32.49527,-114.65668
PABC,60.79194,-161.87637
PACG,56.85277,-135.52915
PAEC,64.51139,-165.29498
PAHG,60.72591,-151.35144
PAIH,59.46194,-146.30109
PAKC,58.67944,-156.62942
PAPD,65.03511,-147.5014
PGUA,13.45583,144.81112
PHKI,21.89389,-159.55249
PHKM,20.12527,-155.77776
PHMO,21.13277,-157.18026
PHWA,19.095,-155.56887
RKJK,35.92417,126.62222
RKSG,37.20757,127.28556
RODN,26.30194,127.90972
TJUA,18.11566,-66.07817
